Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Transaction fee (EUR),Finra fee (EUR),Notes,ID,French transaction tax,Currency conversion fee (EUR)
Limit buy,2021-03-08 08:05:25,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,115.00,USD,1.18873,,96.74,,,,,,,EOF1152148202,,
Market buy,2021-03-08 15:55:30,US62914V1061,NIO,"NIO Inc",1.0000000000,37.72,USD,1.18587,,31.81,,,,,,,EOF1155869789,,
Market buy,2021-03-08 17:42:55,US69608A1088,PLTR,"Palantir",1.0000000000,23.34,USD,1.18563,,19.69,,,,,,,EOF1156524625,,
Dividend (Ordinary),2021-03-08 17:43:05,US1729674242,C,"Citigroup",3.0000000000,0.46,USD,Not available,,1.16,0.15,USD,,,,,,,
Market buy,2021-03-08 19:08:07,US7475251036,QCOM,"Qualcomm",0.4169249000,125.07,USD,1.18511,,44.00,,,,,,,EOF1156957251,,
Market buy,2021-03-08 19:09:47,US0079031078,AMD,"Advanced Micro Devices",0.3030000000,75.42,USD,1.18528,,19.28,,,,,,,EOF1156957756,,
Deposit,2021-03-09 07:31:54,,,,,,,,,255.56,,,255.56,,,"Bank Transfer",9588407c-f930-47e1-9658-54f6f89714c9,,
Dividend (Ordinary),2021-03-09 15:00:12,US9497461015,WFC,"Wells Fargo",2.0000000000,0.09,USD,Not available,,0.15,0.02,USD,,,,,,,
Market buy,2021-03-09 15:43:06,US69608A1088,PLTR,"Palantir",4.0000000000,24.03,USD,1.18956,,80.80,,,,,,,EOF1160977403,,
Market buy,2021-03-10 14:44:30,IE00BDVPNG13,WTAI,"WisdomTree Artificial Intelligence",1.0000000000,61.31,USD,1.19210,,51.43,,,,,,,EOF1167014740,,
Market buy,2021-03-10 15:00:57,XS2193972598,3LTS,"3x Long Tesla GraniteShares",1.0000000000,52.96,USD,1.19089,,44.47,,,,,,,EOF1167794239,,
Market buy,2021-03-11 13:53:01,XS2193972598,3LTS,"3x Long Tesla GraniteShares",1.0000000000,52.23,USD,1.19479,,43.71,,,,,,,EOF1177211658,,
Market buy,2021-03-11 15:52:12,US35953D1046,FUBO,"fuboTV",0.5000000000,32.88,USD,1.19629,,13.74,,,,,,,EOF1179150546,,
Market buy,2021-03-11 16:02:48,US92259F1012,VLDR,"Velodyne Lidar",1.5000000000,13.33,USD,1.19603,,16.72,,,,,,,EOF1179482333,,
Market sell,2021-03-15 14:15:22,US74767V1098,QS,"QuantumScape",1.0000000000,64.51,USD,1.19269,7.99,54.09,,,,,,,EOF1194329956,,
Market sell,2021-03-15 14:16:04,US7501021056,RXT,"Rackspace Technology",2.0000000000,23.83,USD,1.19265,8.98,39.96,,,,,,,EOF1194334171,,
Market buy,2021-03-16 15:19:52,US7475251036,QCOM,"Qualcomm",0.3379000000,134.94,USD,1.18909,,38.35,,,,,,,EOF1204098796,,
Market buy,2021-03-16 18:56:29,CA1366351098,CSIQ,"Canadian Solar",1.0000000000,42.42,USD,1.19031,,35.64,,,,,,,EOF1205371129,,
Market buy,2021-03-16 18:57:24,US60938K1060,ML,"MoneyLion",2.0000000000,10.20,USD,1.19024,,17.14,,,,,,,EOF1205371337,,
Dividend (Ordinary),2021-03-18 14:54:34,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.18,0.02,USD,,,,,,,
Market sell,2021-03-18 19:13:21,US8177631053,SESN,"Sesen Bio ",15.0000000000,3.12,USD,1.19141,21.67,39.28,,,,,,,EOF1214090541,,
Market buy,2021-03-18 19:15:05,US0079031078,AMD,"Advanced Micro Devices",0.6974800000,78.75,USD,1.19121,,46.11,,,,,,,EOF1214091092,,
Market sell,2021-03-22 16:49:45,US3743964062,GEVO,"Gevo",3.0000000000,9.98,USD,1.19390,4.02,25.08,,,,,,,EOF1222425685,,
Market sell,2021-03-22 16:55:09,US5502411037,LUMN,"Lumen Technologies",2.0000000000,14.23,USD,1.19389,4.70,23.84,,,,,,,EOF1222426948,,
Market buy,2021-03-22 17:30:11,US02451V1017,ABML,"American Battery Technology",25.0000000000,1.68,USD,1.19392,,35.18,,,,,,,EOF1222434358,,
Dividend (Ordinary),2021-03-23 07:54:08,US5502411037,LUMN,"Lumen Technologies",2.0000000000,0.23,USD,Not available,,0.38,0.05,USD,,,,,,,
Market sell,2021-03-23 14:28:09,US77311W1018,RKT,"Rocket Companies",3.0000000000,23.97,USD,1.18750,7.84,60.56,,,,,,,EOF1224602202,,
Market buy,2021-03-23 19:15:52,US5533681012,MP,"MP Materials",2.0000000000,37.29,USD,1.18514,,62.93,,,,,,,EOF1226583041,,
Market sell,2021-03-24 15:21:32,CA72706K1012,PLNHF,"Planet 13",1.3035800000,6.35,USD,1.18284,1.00,7.00,,,,,,,EOF1228347237,,
Market sell,2021-03-24 15:24:08,US8902607063,TNXP,"Tonix",15.0000000000,1.32,USD,1.18293,7.02,16.74,,,,,,,EOF1228348016,,
Market buy,2021-03-24 19:03:17,US03945R1023,ACHR,"Archer Aviation",4.0000000000,10.01,USD,1.18180,,33.88,,,,,,,EOF1229455000,,
Dividend (Ordinary),2021-03-25 09:39:28,US77311W1018,RKT,"Rocket Companies",3.0000000000,1.00,USD,Not available,,2.54,0.33,USD,,,,,,,
