Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Transaction fee (EUR),Finra fee (EUR),Notes,ID,French transaction tax,Currency conversion fee (EUR)
Market sell,2021-06-07 16:04:04,US35953D1046,FUBO,"fuboTV",2.0000000000,30.92,USD,1.22010,0.25,50.60,,,,,,,EOF1377968633,,0.08
Dividend (Ordinary),2021-06-08 09:09:21,FR0013176526,FR,"Valeo",0.9993190000,0.22,EUR,Not available,,0.22,0.08,EUR,,,,,,,
Market sell,2021-06-08 12:10:15,XS2193972598,3LTS,"3x Long Tesla GraniteShares",4.0000000000,30.08,USD,1.21819,15.77,98.62,,,,,,,EOF1379227267,,0.15
Market sell,2021-06-09 13:34:00,US77311W1018,RKT,"Rocket Companies",1.0000000000,21.90,USD,1.22174,3.58,17.90,,,,,,,EOF1382468297,,0.03
Market sell,2021-06-10 13:38:02,US23130Q1076,CURI,"CuriosityStream",4.0000000000,14.86,USD,1.21647,12.43,48.79,,,,,,,EOF1384728711,,0.07
Dividend (Return of capital),2021-06-11 15:44:01,US6540901096,NJDCY,"Nidec",1.0000000000,0.04,USD,Not available,,0.03,0.00,USD,,,,,,,
Market sell,2021-06-14 14:08:02,US72919P2020,PLUG,"Plug Power",3.0000000000,31.11,USD,1.21224,3.23,76.87,,,,,,,EOF1391224652,,0.12
Limit sell,2021-06-15 07:05:40,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",6.0000000000,164.15,USD,1.21384,161.48,810.17,,,,,,,EOF1391939689,,1.22
Market sell,2021-06-15 14:07:35,US70614W1009,PTON,"Peloton Interactive",2.0000000000,109.48,USD,1.21276,6.96,180.28,,,,,,,EOF1393080715,,0.27
Dividend (Ordinary),2021-06-17 12:40:21,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.18,0.02,USD,,,,,,,
Market sell,2021-06-17 13:57:08,US50202M1027,LI,"Li Auto",1.0000000000,29.95,USD,1.19378,0.25,25.05,,,,,,,EOF1396651757,,0.04
Market buy,2021-06-18 07:00:39,DE000A0N62H8,VZLE,"WisdomTree Physical Precious Metals",1.0000000000,130.73,EUR,1.00000,,130.73,,,,,,,EOF1399171510,,
Limit buy,2021-06-18 13:30:01,US9129091081,X,"United States Steel",5.0000000000,23.70,USD,1.18727,,99.96,,,,,,,EOF1399189743,,0.15
Market buy,2021-06-18 14:43:26,CA66979W8429,NMG,"Nouveau Monde Graphite ",3.0000000000,7.38,USD,1.18718,,18.68,,,,,,,EOF1400272877,,0.03
Dividend (Ordinary),2021-06-22 12:39:48,US94106L1098,WM,"Waste Management",1.0000000000,0.52,USD,Not available,,0.44,0.06,USD,,,,,,,
Market sell,2021-06-23 14:05:48,US92556H2067,PARA,"Paramount Global",1.0000000000,41.25,USD,1.19668,0.77,34.42,,,,,,,EOF1407404701,,0.05
Dividend (Ordinary),2021-06-25 09:22:25,US7475251036,QCOM,"Qualcomm",1.0010204000,0.61,USD,Not available,,0.51,0.07,USD,,,,,,,
Market sell,2021-06-25 14:30:23,US6541061031,NKE,"Nike",0.4500000000,152.01,USD,1.19660,6.00,57.08,,,,,,,EOF1412396989,,0.09
Market sell,2021-06-28 13:36:22,US09061G1013,BMRN,"Biomarin Pharma",0.3926440000,85.73,USD,1.19223,0.72,28.19,,,,,,,EOF1415912075,,0.04
Limit buy,2021-06-29 13:43:24,US1729674242,C,"Citigroup",10.0000000000,70.50,USD,1.18919,,593.73,,,,,,,EOF1418994104,,0.89
Market sell,2021-06-30 13:41:15,US9311421039,WMT,"Walmart",1.5000000000,141.75,USD,1.18680,7.24,178.89,,,,,,,EOF1421151681,,0.27
Deposit,2021-07-01 06:57:41,,,,,,,,,613.28,,,613.28,,,"Bank Transfer",f503a295-301a-40cb-90ff-5e0226880675,,
Dividend (Ordinary),2021-07-05 14:16:38,US92556H2067,PARA,"Paramount Global",1.0000000000,0.22,USD,Not available,,0.18,0.02,USD,,,,,,,
Dividend (Ordinary),2021-07-05 14:40:44,US6541061031,NKE,"Nike",0.4500000000,0.25,USD,Not available,,0.09,0.01,USD,,,,,,,
Limit buy,2021-07-08 13:34:43,XS2193972598,3LTS,"3x Long Tesla GraniteShares",10.0000000000,31.00,USD,1.18608,,261.75,,,,,,,EOF1437025626,,0.39
Limit buy,2021-07-08 13:38:29,US92259F1012,VLDR,"Velodyne Lidar",20.0000000000,9.28,USD,1.18558,,156.79,,,,,,,EOF1437027629,,0.24
Limit buy,2021-07-08 13:40:34,US38113L1070,GNOG,"Golden Nugget Online Gaming",15.0000000000,11.30,USD,1.18562,,143.17,,,,,,,EOF1437028606,,0.21
Limit sell,2021-07-12 14:09:14,XS2193972598,3LTS,"3x Long Tesla GraniteShares",10.0000000000,38.02,USD,1.18698,58.95,319.83,,,,,,,EOF1441736105,,0.48
Market sell,2021-07-13 15:12:56,US00724F1012,ADBE,"Adobe Systems",0.5000000000,606.75,USD,1.18167,66.92,256.35,,,,,,,EOF1443744965,,0.38
Limit sell,2021-07-14 19:36:14,US94106L1098,WM,"Waste Management",1.0000000000,144.00,USD,1.18384,26.50,121.46,,,,,0.00,,EOF1447548192,,0.18
Dividend (Ordinary),2021-07-19 13:06:44,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.18,0.02,USD,,,,,,,
Limit buy,2021-07-19 13:41:04,US92259F1012,VLDR,"Velodyne Lidar",15.0000000000,8.43,USD,1.18141,,107.16,,,,,,,EOF1452111574,,0.16
Dividend (Return of capital),2021-07-20 12:38:22,US8740391003,TSM,"Taiwan Semiconductor",1.0000000000,0.35,USD,Not available,,0.30,-0.00,USD,,,,,,,
Limit buy,2021-07-20 19:55:15,US22041X1028,CRSR,"Corsair Gaming",10.0000000000,29.70,USD,1.17808,,252.49,,,,,,,EOF1456261175,,0.38
Limit buy,2021-07-21 13:30:12,PA1436583006,CCL,"Carnival",6.0000000000,21.67,USD,1.17627,,110.71,,,,,,,EOF1456788530,,0.17
Limit buy,2021-07-21 13:31:20,US9108734057,UMC,"United Microelectronics",15.0000000000,9.00,USD,1.17629,,114.94,,,,,,,EOF1456790454,,0.17
Market buy,2021-07-21 14:23:10,US44951Y1029,HYZN,"Hyzon Motors",4.0000000000,7.85,USD,1.17861,,26.68,,,,,,,EOF1456811397,,0.04
Limit buy,2021-07-22 13:30:02,US4128221086,HOG,"Harley-Davidson",5.0000000000,40.63,USD,1.18265,,172.03,,,,,,,EOF1458767557,,0.26
Limit buy,2021-07-22 13:30:03,US15961R1059,CHPT,"ChargePoint Holdings",4.0000000000,26.00,USD,1.18267,,88.07,,,,,,,EOF1458767820,,0.13
Limit buy,2021-07-22 13:30:03,US8485771021,SAVE,"Spirit Airlines",4.0000000000,28.00,USD,1.18267,,94.84,,,,,,,EOF1458767756,,0.14
Limit buy,2021-07-22 13:30:03,US1491231015,CAT,"Caterpillar",1.0000000000,211.00,USD,1.18267,,178.68,,,,,,,EOF1458767722,,0.27
Limit buy,2021-07-22 13:30:04,US7595091023,RS,"Reliance Steel & Aluminum",1.0000000000,149.41,USD,1.18268,,126.52,,,,,,,EOF1458767893,,0.19
Limit buy,2021-07-22 13:30:05,US72016P1057,PLL,"Piedmont Lithium",2.0000000000,57.65,USD,1.18264,,97.64,,,,,,,EOF1458768186,,0.15
Limit buy,2021-07-23 13:52:02,US92259F1012,VLDR,"Velodyne Lidar",15.0000000000,8.00,USD,1.17607,,102.18,,,,,,,EOF1460310103,,0.15
Limit buy,2021-07-28 08:00:38,XS2193972598,3LTS,"3x Long Tesla GraniteShares",4.0000000000,32.00,USD,1.18045,,108.59,,,,,,,EOF1468478100,,0.16
Dividend (Ordinary),2021-07-28 09:45:20,US6496045013,NYMT,"New York Mortgage Trust",10.0000000000,0.09,USD,Not available,,0.76,0.10,USD,,,,,,,
Limit buy,2021-07-28 16:16:46,US72016P1057,PLL,"Piedmont Lithium",2.0000000000,52.00,USD,1.18126,,88.17,,,,,,,EOF1469538846,,0.13
Dividend (Ordinary),2021-07-29 08:01:23,DE0007664039,VOW3,"Volkswagen",0.5000000000,3.58,EUR,Not available,,1.79,0.64,EUR,,,,,,,
Market sell,2021-07-29 13:45:24,US0079031078,AMD,"Advanced Micro Devices",3.0004800000,100.45,USD,1.18821,55.87,253.28,,,,,,,EOF1470391517,,0.38
Limit sell,2021-07-29 15:14:01,XS2193972598,3LTS,"3x Long Tesla GraniteShares",4.0000000000,36.84,USD,1.18903,15.50,123.74,,,,,,,EOF1470410591,,0.19
Market buy,2021-07-30 14:54:30,US0231351067,AMZN,"Amazon",0.0460660100,3343.00,USD,1.18634,,130.00,,,,,,,EOF1472507920,,0.19
Limit buy,2021-08-02 13:31:00,US72352L1061,PINS,"Pinterest",3.0000000000,59.20,USD,1.18771,,149.75,,,,,,,EOF1475709278,,0.22
Limit buy,2021-08-02 13:53:00,US0272631021,AMLM,"American Lithium Minerals",500.0000000000,0.22,USD,1.18759,,92.98,,,,,,,EOF1475988346,,0.14
Deposit,2021-08-03 06:23:10,,,,,,,,,613.26,,,613.26,,,"Bank Transfer",d93de3f9-0168-431e-a478-5e41d5676bc6,,
Limit buy,2021-08-03 15:28:51,US92826C8394,V,"Visa",1.0000000000,234.93,USD,1.18542,,198.48,,,,,,,EOF1478399889,,0.30
Limit buy,2021-08-04 14:42:24,US7707001027,HOOD,"Robinhood",2.0000000000,58.00,USD,1.18456,,98.08,,,,,,,EOF1480782054,,0.15
Limit buy,2021-08-04 17:35:20,US37045V1008,GM,"General Motors",2.0000000000,52.65,USD,1.18383,,89.08,,,,,,,EOF1480806426,,0.13
Limit sell,2021-08-04 17:53:15,US9108734057,UMC,"United Microelectronics",15.0000000000,11.00,USD,1.18427,24.56,139.12,,,,,,,EOF1480808176,,0.21
Stop limit sell,2021-08-05 16:05:17,US7707001027,HOOD,"Robinhood",2.0000000000,60.31,USD,1.18401,3.94,101.72,,,,,0.00,,EOF1483434831,,0.15
Limit buy,2021-08-09 13:30:03,US3453708600,F,"Ford",10.0000000000,13.67,USD,1.17594,,116.42,,,,,,,EOF1486543451,,0.17
Market sell,2021-08-09 13:37:25,US38113L1070,GNOG,"Golden Nugget Online Gaming",30.0002750000,17.88,USD,1.17638,122.35,455.30,,,,,,,EOF1486557291,,0.68
Limit buy,2021-08-10 15:15:38,XS2337090778,3TWE,"3x Twitter",25.0000000000,6.23,EUR,1.00000,,155.75,,,,,,,EOF1490193139,,
Limit buy,2021-08-10 15:18:07,XS2193969537,3LPE,"3x Long Amazon GraniteShares",25.0000000000,5.73,EUR,1.00000,,143.19,,,,,,,EOF1490193692,,
Market buy,2021-08-10 15:19:08,US0231351067,AMZN,"Amazon",0.0310000000,3318.98,USD,1.17218,,87.91,,,,,,,EOF1490193849,,0.13
Limit buy,2021-08-11 14:26:35,US74374T1097,PTRA,"Proterra",10.0000000000,11.80,USD,1.17322,,100.73,,,,,,,EOF1492429259,,0.15
Market buy,2021-08-11 18:30:46,US0231351067,AMZN,"Amazon",0.0500000000,3281.17,USD,1.17421,,139.93,,,,,,,EOF1492466118,,0.21
Limit buy,2021-08-12 13:39:35,US0382221051,AMAT,"Applied Materials",1.0000000000,130.98,USD,1.17263,,111.86,,,,,,,EOF1493602962,,0.17
Dividend (Ordinary),2021-08-13 07:47:37,US0378331005,AAPL,"Apple",3.0000000000,0.20,USD,Not available,,0.51,0.07,USD,,,,,,,
Limit buy,2021-08-16 13:46:35,XS2193973133,3LIE,"3x Long NIO GraniteShares",60.0000000000,1.68,EUR,1.00000,,100.56,,,,,,,EOF1498669566,,
Dividend (Ordinary),2021-08-17 08:50:49,US7561091049,O,"Realty Income",1.0000000000,0.21,USD,Not available,,0.18,0.02,USD,,,,,,,
Limit sell,2021-08-18 12:00:01,US0272631021,AMLM,"American Lithium Minerals",500.0000000000,0.26,USD,1.17235,5.04,108.59,,,,,,,EOF1502132091,,0.16
Market buy,2021-08-18 13:37:50,CA1366351098,CSIQ,"Canadian Solar",2.0000000000,35.18,USD,1.17087,,60.18,,,,,,,EOF1502143922,,0.09
Market buy,2021-08-18 13:41:13,DE0007664039,VOW3,"Volkswagen",0.5000000000,197.12,EUR,1.00000,,98.56,,,,,,,EOF1502144805,,
Market sell,2021-08-20 13:46:19,IE00B3WJKG14,QDVE,"iShares S&P 500 Information Technology Sector EUR",4.4856450000,16.63,EUR,1.00000,14.58,74.58,,,,,,,EOF1506471859,,
Market sell,2021-08-20 13:47:53,US7561091049,O,"Realty Income",1.0000000000,71.34,USD,1.16830,12.18,60.97,,,,,,,EOF1506472258,,0.09
Market sell,2021-08-20 13:49:00,US9129091081,X,"United States Steel",9.0000000000,27.50,USD,1.16827,29.06,211.53,,,,,,,EOF1506472573,,0.32
Limit buy,2021-08-20 13:54:27,XS2337090778,3TWE,"3x Twitter",25.0000000000,5.37,EUR,1.00000,,134.13,,,,,,,EOF1506474225,,
Market buy,2021-08-20 13:57:43,US57636Q1040,MA,"Mastercard",0.5000000000,357.18,USD,1.16740,,153.21,,,,,,,EOF1506475157,,0.23
Limit sell,2021-08-20 15:32:38,US0378331005,AAPL,"Apple",1.0000000000,147.80,USD,1.16821,21.67,126.33,,,,,0.00,,EOF1506493865,,0.19
Limit buy,2021-08-20 15:32:55,US8923313071,TM,"Toyota Motor Corporation ADR",1.0000000000,164.85,USD,1.16784,,141.37,,,,,,,EOF1506493892,,0.21
Market sell,2021-08-30 17:50:25,US30303M1027,FB,"Meta Platforms",0.0000919000,380.03,USD,1.17987,0.01,0.03,,,,,,,EOF1520662001,,
Market sell,2021-08-30 17:50:25,US30303M1027,FB,"Meta Platforms",1.0000000000,380.03,USD,1.17987,106.47,321.60,,,,0.01,0.00,,EOF1520662002,,0.48
Dividend (Ordinary),2021-09-01 10:58:08,US1729674242,C,"Citigroup",10.0000000000,0.46,USD,Not available,,3.88,0.51,USD,,,,,,,
Dividend (Ordinary),2021-09-01 11:44:44,US7595091023,RS,"Reliance Steel & Aluminum",1.0000000000,0.62,USD,Not available,,0.52,0.07,USD,,,,,,,
Limit sell,2021-09-02 14:00:47,CA53680Q2071,LAC,"Lithium Americas",8.0000000000,22.30,USD,1.18589,49.67,150.20,,,,,0.00,,EOF1527468748,,0.23
Limit buy,2021-09-02 15:25:50,US92826C8394,V,"Visa",1.0000000000,222.96,USD,1.18611,,188.26,,,,,,,EOF1527484850,,0.28
Dividend (Ordinary),2021-09-03 10:24:50,US92826C8394,V,"Visa",1.0000000000,0.29,USD,Not available,,0.24,0.03,USD,,,,,,,
Market sell,2021-09-03 14:13:32,US7820111000,RSI,"Rush Street Interactive",2.0005710000,15.71,USD,1.18834,0.10,26.41,,,,,,,EOF1528602793,,0.04
Limit buy,2021-09-09 07:00:23,IE00BMDH1538,HDRO,"VanEck Hydrogen Economy",10.0000000000,17.97,USD,1.18144,,152.37,,,,,,,EOF1535493380,,0.23
Limit buy,2021-09-09 07:01:59,XS2193973133,3LIE,"3x Long NIO GraniteShares",70.0000000000,1.50,EUR,1.00000,,105.00,,,,,,,EOF1535494332,,
Deposit,2021-09-09 07:59:55,,,,,,,,,502.92,,,502.92,,,"Bank Transfer",052e61b3-ced1-4b35-8c9a-ddf760ac3f1f,,
Market sell,2021-09-09 14:50:13,US44951Y1029,HYZN,"Hyzon Motors",6.0000000000,9.92,USD,1.18117,1.75,50.31,,,,,,,EOF1537040016,,0.08
Dividend (Ordinary),2021-09-13 13:28:19,US9129091081,X,"United States Steel",9.0000000000,0.01,USD,Not available,,0.07,0.01,USD,,,,,,,
Limit buy,2021-09-14 07:35:20,DE000A0N62H8,VZLE,"WisdomTree Physical Precious Metals",1.0000000000,120.00,EUR,1.00000,,120.00,,,,,,,EOF1543573401,,
Limit buy,2021-09-14 13:50:35,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,213.00,USD,1.18236,,180.42,,,,,,,EOF1543595529,,0.27
Limit buy,2021-09-14 13:51:52,LU0411078552,DBPG,"Xtrackers S&P 500 2x Leveraged Daily Swap",1.0000000000,133.40,EUR,1.00000,,133.40,,,,,,,EOF1543595865,,
Limit buy,2021-09-20 13:30:42,DE0007664039,VOW3,"Volkswagen",1.0000000000,181.00,EUR,1.00000,,181.00,,,,,,,EOF1552570359,,
Deposit,2021-09-22 07:05:08,,,,,,,,,613.25,,,613.25,,,"Bank Transfer",6d90f79d-fc60-4b7d-a86c-bd7f43eb2c75,,
Dividend (Bonus),2021-09-22 12:05:11,US0382221051,AMAT,"Applied Materials",1.0000000000,0.22,USD,Not available,,0.18,0.02,USD,,,,,,,
Market sell,2021-09-22 14:44:32,US60938K1060,ML,"MoneyLion",4.0000000000,11.21,USD,1.17390,2.44,38.14,,,,,,,EOF1557483902,,0.06
Limit buy,2021-09-22 14:51:45,LU0411078552,DBPG,"Xtrackers S&P 500 2x Leveraged Daily Swap",1.0000000000,129.50,EUR,1.00000,,129.50,,,,,,,EOF1557485232,,
Dividend (Ordinary),2021-09-24 11:42:39,US7475251036,QCOM,"Qualcomm",1.0010204000,0.61,USD,Not available,,0.52,0.07,USD,,,,,,,
Market buy,2021-09-24 15:27:28,US15961R1059,CHPT,"ChargePoint Holdings",5.0000000000,19.93,USD,1.17079,,85.24,,,,,,,EOF1560957021,,0.13
Dividend (Ordinary),2021-09-28 11:51:37,US4128221086,HOG,"Harley-Davidson",5.0000000000,0.14,USD,Not available,,0.58,0.08,USD,,,,,,,
Limit buy,2021-09-28 13:54:00,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",2.0000000000,190.84,USD,1.16751,,327.41,,,,,,,EOF1567515249,,0.49
Limit buy,2021-09-28 14:01:01,US1912161007,KO,"Coca-Cola",2.0000000000,53.00,USD,1.16773,,90.91,,,,,,,EOF1568918747,,0.14
Market sell,2021-09-29 13:33:43,US8036071004,SRPT,"Sarepta Therapeutics",1.0000000000,92.62,USD,1.16408,3.75,79.44,,,,,,,EOF1569995014,,0.12
Limit buy,2021-09-30 12:10:33,XS2337090778,3TWE,"3x Twitter",25.0000000000,4.58,EUR,1.00000,,114.43,,,,,,,EOF1572774972,,
Market sell,2021-10-01 13:37:23,US8676524064,SPWR,"SunPower",4.0000000000,25.02,USD,1.16034,11.18,86.12,,,,,,,EOF1575676083,,0.13
Deposit,2021-10-04 06:42:46,,,,,,,,,215.59,,,215.59,,,"Bank Transfer",06a0f7ca-f351-48a5-a602-15bc779be096,,
Limit buy,2021-10-05 08:20:56,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,174.99,USD,1.16020,,151.06,,,,,,,EOF1580950233,,0.23
Dividend (Ordinary),2021-10-15 09:53:18,US8740391003,TSM,"Taiwan Semiconductor",1.0000000000,0.39,USD,Not available,,0.33,0.10,USD,,,,,,,
Limit buy,2021-10-15 13:40:21,US22041X1028,CRSR,"Corsair Gaming",8.0000000000,24.55,USD,1.16011,,169.54,,,,,,,EOF1604891537,,0.25
Limit sell,2021-10-20 13:25:30,US0272631021,AMLM,"American Lithium Minerals",100.0000000000,0.26,USD,1.16406,1.16,21.87,,,,,,,EOF1619457116,,0.03
Market sell,2021-10-20 13:46:15,US6496045013,NYMT,"New York Mortgage Trust",10.0000000000,4.36,USD,1.16414,6.94,37.39,,,,,,,EOF1619471789,,0.06
Market buy,2021-10-22 14:28:12,US4581401001,INTC,"Intel",1.0000000000,50.06,USD,1.16493,,43.03,,,,,,,EOF1624288951,,0.06
Market buy,2021-10-25 13:54:01,US72352L1061,PINS,"Pinterest",0.6501020000,49.93,USD,1.16092,,28.00,,,,,,,EOF1628861072,,0.04
Dividend (Ordinary),2021-10-27 08:49:57,US6496045013,NYMT,"New York Mortgage Trust",10.0000000000,0.09,USD,Not available,,0.78,0.10,USD,,,,,,,
Market sell,2021-10-28 13:41:09,KYG9103H1020,TRIRF,"Triterras",2.0000000000,7.76,USD,1.16391,1.38,13.31,,,,,,,EOF1637126933,,0.02
Deposit,2021-11-02 07:38:08,,,,,,,,,613.30,,,613.30,,,"Bank Transfer",443d39b8-82db-496f-80f0-8f3bb1ef7b9e,,
Limit buy,2021-11-04 12:37:12,XS2297550217,3PYE,"3x PayPal",75.0000000000,2.83,EUR,1.00000,,211.95,,,,,,,EOF1649170817,,
Limit sell,2021-11-04 14:11:16,XS2193973133,3LIE,"3x Long NIO GraniteShares",130.0000000000,2.00,EUR,1.00000,54.57,260.13,,,,,,,EOF1649199918,,
Market buy,2021-11-04 16:40:20,US74736K1016,QRVO,"Qorvo",0.7000000000,153.66,USD,1.15428,,93.32,,,,,,,EOF1650185404,,0.14
Limit sell,2021-11-05 15:33:24,XS2193969537,3LPE,"3x Long Amazon GraniteShares",25.0000000000,6.75,EUR,1.00000,25.56,168.75,,,,,,,EOF1652282733,,
Limit sell,2021-11-08 14:37:39,US74374T1097,PTRA,"Proterra",10.0000000000,12.65,USD,1.15744,8.71,109.13,,,,,,,EOF1655400678,,0.16
Market buy,2021-11-09 15:02:12,US70450Y1038,PYPL,"PayPal",0.5000000000,204.26,USD,1.15933,,88.22,,,,,,,EOF1658383708,,0.13
Limit buy,2021-11-09 15:03:04,XS2297550217,3PYE,"3x PayPal",45.0000000000,1.83,EUR,1.00000,,82.44,,,,,,,EOF1658384057,,
Dividend (Ordinary),2021-11-10 09:16:37,US57636Q1040,MA,"Mastercard",0.5000000000,0.40,USD,Not available,,0.17,0.02,USD,,,,,,,
Limit buy,2021-11-10 19:59:42,US8825081040,TXN,"Texas Instruments",1.0000000000,186.68,USD,1.14822,,162.82,,,,,,,EOF1662061564,,0.24
Dividend (Bonus),2021-11-11 13:56:09,US6540901096,NJDCY,"Nidec",1.0000000000,0.03,USD,Not available,,0.02,0.00,USD,,,,,,,
Limit buy,2021-11-11 14:55:35,US2546871060,DIS,"Walt Disney",1.0000000000,160.22,USD,1.14723,,139.87,,,,,,,EOF1663164600,,0.21
Dividend (Ordinary),2021-11-15 09:40:35,US0378331005,AAPL,"Apple",2.0000000000,0.20,USD,Not available,,0.35,0.04,USD,,,,,,,
Market buy,2021-11-15 16:39:02,US70450Y1038,PYPL,"PayPal",0.5000000000,213.23,USD,1.14217,,93.48,,,,,,,EOF1668454159,,0.14
Dividend (Ordinary),2021-11-22 13:55:33,US1491231015,CAT,"Caterpillar",1.0000000000,1.00,USD,Not available,,0.89,0.11,USD,,,,,,,
Dividend (Ordinary),2021-11-25 09:37:07,US1729674242,C,"Citigroup",10.0000000000,0.46,USD,Not available,,4.09,0.51,USD,,,,,,,
Market buy,2021-11-26 09:25:30,XS2297550217,3PYE,"3x PayPal",80.0000000000,1.40,EUR,1.00000,,112.00,,,,,,,EOF1685140724,,
Limit buy,2021-11-26 09:26:54,XS2337090778,3TWE,"3x Twitter",45.0000000000,1.88,EUR,1.00000,,84.74,,,,,,,EOF1685140823,,
Dividend (Ordinary),2021-11-26 12:53:59,IE00B1TXK627,DH2O,"iShares Global Water USD",0.5000000000,1.00,USD,Not available,,0.44,0.00,USD,,,,,,,
Dividend (Ordinary),2021-11-26 13:19:51,IE00B1XNHC34,INRG,"iShares Global Clean Energy",40.0000000000,3.60,GBX,Not available,,1.70,0.00,GBX,,,,,,,
Market buy,2021-11-30 14:53:38,PA1436583006,CCL,"Carnival",4.0000000000,17.62,USD,1.13778,,62.03,,,,,,,EOF1692015041,,0.09
Market buy,2021-11-30 18:55:39,US09857L1089,BKNG,"Booking Holdings",0.0231185700,2101.44,USD,1.13140,,43.00,,,,,,,EOF1692911218,,0.06
Deposit,2021-12-01 08:16:19,,,,,,,,,613.28,,,613.28,,,"Bank Transfer",0ee175fc-a4f7-4e2f-bbf8-5741277b868a,,
Market buy,2021-12-01 19:27:57,US6792951054,OKTA,"Okta",0.5000000000,202.37,USD,1.13171,,89.54,,,,,,,EOF1695116866,,0.13
Limit buy,2021-12-01 19:28:28,US69608A1088,PLTR,"Palantir",6.0000000000,19.78,USD,1.13170,,105.03,,,,,,,EOF1695117110,,0.16
Dividend (Ordinary),2021-12-02 15:09:47,US4581401001,INTC,"Intel",1.0000000000,0.31,USD,Not available,,0.28,0.03,USD,,,,,,,
Dividend (Ordinary),2021-12-02 15:51:13,US3453708600,F,"Ford",10.0000000000,0.09,USD,Not available,,0.80,0.10,USD,,,,,,,
Limit buy,2021-12-03 15:07:23,US2561631068,DOCU,"DocuSign",1.0000000000,141.45,USD,1.12824,,125.56,,,,,,,EOF1698320912,,0.19
Limit buy,2021-12-03 15:12:58,US62914V1061,NIO,"NIO Inc",4.0000000000,32.92,USD,1.12801,,116.92,,,,,,,EOF1698323275,,0.18
Dividend (Ordinary),2021-12-06 10:03:31,US7595091023,RS,"Reliance Steel & Aluminum",1.0000000000,0.62,USD,Not available,,0.55,0.07,USD,,,,,,,
Market buy,2021-12-07 15:28:34,XS2337090778,3TWE,"3x Twitter",40.0000000000,1.82,EUR,1.00000,,72.88,,,,,,,EOF1702520756,,
Dividend (Ordinary),2021-12-07 17:35:50,US8923313071,TM,"Toyota Motor Corporation ADR",1.0000000000,1.78,USD,Not available,,1.58,0.32,USD,,,,,,,
Limit buy,2021-12-08 14:46:41,US15961R1059,CHPT,"ChargePoint Holdings",5.0000000000,19.98,USD,1.13032,,88.51,,,,,,,EOF1703531189,,0.13
Dividend (Ordinary),2021-12-09 10:43:42,US92826C8394,V,"Visa",2.0000000000,0.34,USD,Not available,,0.60,0.08,USD,,,,,,,
Dividend (Ordinary),2021-12-09 12:32:41,US6540901096,NJDCY,"Nidec",1.0000000000,0.06,USD,Not available,,0.05,0.01,USD,,,,,,,
Limit sell,2021-12-13 14:54:10,US4128221086,HOG,"Harley-Davidson",5.0000000000,42.51,USD,1.12887,16.51,188.00,,,,,,,EOF1709298208,,0.28
Market buy,2021-12-14 19:44:57,US8676524064,SPWR,"SunPower",3.0000000000,21.07,USD,1.12598,,56.22,,,,,,,EOF1711713328,,0.08
Dividend (Ordinary),2021-12-16 12:54:22,US1912161007,KO,"Coca-Cola",2.0000000000,0.38,USD,Not available,,0.67,0.08,USD,,,,,,,
Dividend (Ordinary),2021-12-17 13:21:54,US0382221051,AMAT,"Applied Materials",1.0000000000,0.22,USD,Not available,,0.19,0.02,USD,,,,,,,
Dividend (Ordinary),2021-12-17 14:27:57,US7475251036,QCOM,"Qualcomm",1.0010204000,0.61,USD,Not available,,0.54,0.07,USD,,,,,,,
Market buy,2021-12-20 14:38:47,US8676524064,SPWR,"SunPower",3.0000000000,19.59,USD,1.12940,,52.12,,,,,,,EOF1718242866,,0.08
Dividend (Ordinary),2021-12-24 10:34:33,US4128221086,HOG,"Harley-Davidson",5.0000000000,0.14,USD,Not available,,0.60,0.08,USD,,,,,,,
